Have Postman's Mask, 801EF6F8 003E
Have All-Night Mask, 801EF6F9 0038
Have Blast Mask, 801EF6FA 0047
Have Stone Mask, 801EF6FB 0045
Have Great Fairy's Mask, 801EF6FC 0040
Have Deku Mask, 801EF6FD 0032
Have Keaton Mask, 801EF6FE 003A
Have Breman Mask, 801EF6FF 0046
Have Bunny Hood, 801EF700 0039
Have Don Gero's Mask, 801EF701 0042
Have Mask of Scents, 801EF702 0048
Have Goron Mask, 801EF703 0033
Have Romani's Mask, 801EF704 003C
Have Circus Leader's Mask, 801EF705 003D
Have Kafei's Mask, 801EF706 0037
Have Couple Mask, 801EF707 003F
Have Mask of Truth, 801EF708 0036
Have Zora Mask, 801EF709 0034
Have Kamaro's Mask, 801EF70A 0043
Have Gibdo Mask, 801EF70B 0041
Have Garo's Mask, 801EF70C 003B
Have Captain's Hat, 801EF70D 0044
Have Giant's Mask, 801EF70E 0049
Have Fierce Deity's Mask, 801EF70F 0035